puuid,region,league,summoner_name,matches,wins,kills,deaths,assists,losses,winrate,matches_month,kda,leaguePoints
-7cQ1Y7hB2FpSD-sWJt-azbe7APpx9IVt6L7K-b7uW7PR9sg38l0e4S2gc3TBYowiGT_x0g9Lw-Kxw,na,grandmaster,,1,0,4.0,6.0,5.0,1,0.0,1,1.5,
-7jG9MR00dKcs5KsnwKgQeKH0nw3toEgsnzMDGtlg_N8lUOoe9tc2a4h_RxOYFKmJx7txiMTH5dHMg,na,grandmaster,,1,0,2.0,6.0,0.0,1,0.0,1,0.3333333333333333,
-7z6RDLXDukSrN9dlx5FFUTFfIsFoZ0_i-KdIXOh0fAupabGEr2_VQRR3yCCxhnpMrIMKbveasBdzQ,euw,grandmaster,,1,1,14.0,6.0,17.0,0,1.0,1,5.166666666666667,
-82nYas-8OPNhcjzSISN48ce4e7HXp_pV5iIRYgCUBfyv0PxeD3KowMOw_EV8zXg67Ggvy-Sc8iFNA,euw,master,,1,1,3.0,13.0,20.0,0,1.0,1,1.7692307692307692,
-8LTK9bhCenKDD422El66cupBYP2E9C2F1lSlft7lK6oMlShGYV_Hk7Q5Rx2aKVws5lEABPMRAGEGw,na,master,,2,1,6.0,6.5,7.0,1,0.5,2,2.0,
-8MoRSu9p--ybZY4NgamUOs40HDHFR7qLp_ZDeqhEjdJ3SXlSnKP5w9yti4nsafQJMxyrRbIWyShTg,euw,master,,1,0,7.0,7.0,6.0,1,0.0,1,1.8571428571428568,
-9TA1szN0_RfHqs3VDyWSlpfb0IxcWaCEh9zsV-Vn0cpmbCBSA1duCDgYLnTGKZ-jYx8KhlV-Z-e9Q,na,challenger,,5,2,4.2,6.8,5.2,3,0.4,8,1.3823529411764708,785.0
-9VFYyC2i1ql33WJCcHEPJe9Ewk3l-78KL3XsLovTWTNjo_HCGloGOxcJZmHLRtTo2Glb9_v1vBVhw,euw,challenger,,1,1,8.0,8.0,12.0,0,1.0,1,2.5,
-9WHMoXRIvvwfnNCHk1clVn4s_Oa1ncM7eSi6tO2wRy7cvNs97aO2CEqwqop7lBzbcbQ_1q6wqRtrw,euw,master,,1,1,1.0,2.0,19.0,0,1.0,1,10.0,
-9YLrk66wL01IlTIbYB9S1yJpMitz6265FsQPTMYebVf7CHWoXqAys5I3WCoIH-6rZxWh2Am9MyOXQ,euw,challenger,,1,0,5.0,7.0,8.0,1,0.0,1,1.8571428571428568,
-9oLNZCxpv26V4Si-qK5DhnNgULD-lLeSTciWb2tv95ERd04Vu7du6BeaFp8SzPEZ0eYTRk9DPulrg,na,challenger,,1,0,3.0,7.0,16.0,1,0.0,1,2.7142857142857144,
-9sAXLIZ0LdFP0KfNJ_uSBsmS9VCyDF-T-3b5aMfspAs080PaIfVNQEpxpSr8vqM0AuymcllhBYIbQ,na,master,,2,2,4.0,8.5,20.0,0,1.0,2,2.823529411764706,
-A2t6yoRexDJNuJo9MF12KEvvLsFjYA-vKPPRaMdGFbTreM_ifpuxsQ95Qnfm1BuLi3yugT9D81c5Q,na,challenger,,3,2,2.0,7.0,16.0,1,0.6666666666666666,4,2.571428571428572,1454.0
