puuid,region,league,summoner_name,matches,wins,kills,deaths,assists,losses,winrate,matches_month,kda,leaguePoints
2JobA8DieWOhOo-1W7Z9SUX8WkRIjR3zgH35urXe-MaFj7EUdunidF_YjVEqafk-Z8SwXgtec9M3NQ,euw,grandmaster,,3,2,6.0,6.333333333333333,5.0,1,0.6666666666666666,4,1.736842105263158,1909.0
2KEv2M7zJ87M6yAI0bAyp4aEcMRt7kBbcBTBjMLfmURVvNbTq58sh4R1igKMbuOGs7ubO_Hjae-SrQ,na,challenger,,3,1,5.333333333333333,6.333333333333333,6.0,2,0.3333333333333333,3,1.789473684210526,
2KF4Qvt3Zq9bOndWm0K4RDn2UdLSZQ4GN8Rk3g17Jj7N_5qaOeSvUzVczuSu49J38IxSxY_osUu_9g,na,grandmaster,,2,0,5.5,7.5,6.5,2,0.0,3,1.6,
2KVExftW0zkAn85AQdZ2n9f3JVNJTxsjLAaxWanSW3v9N0nniMpqb4DizwwTKY2I159PGA_yuP3Vyw,euw,grandmaster,,2,2,6.0,1.5,7.0,0,1.0,2,8.666666666666666,
2Kid6Sxy_X136EOh9dJBJPu4WDjM8mkEfONr31e2PfIyelwti7EBZaqfofcSC69FvwJOmTu1lugFWg,euw,grandmaster,,1,1,5.0,6.0,25.0,0,1.0,1,5.0,
2LIHtMbuSaKUB_eVFaqU4BVfYVTdjD4yVY3NkfvnCCX_SevS8bCtI_OxDg3BwcW8ZR0rkAkGd9_KVQ,na,challenger,,13,8,6.923076923076923,3.615384615384616,5.153846153846154,5,0.6153846153846154,19,3.3404255319148937,2054.0
2LysfNxERs8SoYGdIfo32TBPJCxaRozzguyNaeW_uRp7PbznvLh_44Z_3Su0eZ8_WcHm7R_2Wz5wkw,na,grandmaster,,5,3,11.4,5.8,3.4,2,0.6,5,2.5517241379310347,
2LzaZZSrti88K6K9z97DIQNncJy5QFQ5hXke1VzCBr3PDAEnFpe9-9xYCTUYK8vMzZSdgc3ijbuhEQ,na,challenger,,1,0,7.0,4.0,0.0,1,0.0,2,1.75,
2MTJUIe1rGkgADLO6tT1mVaaP8Q3sYpxIQibspJdNZVq_jfHxudlFfwYixVSAm1maRCe-hGzjow78A,euw,grandmaster,,3,2,7.333333333333333,1.6666666666666667,1.0,1,0.6666666666666666,3,4.999999999999999,
2N-OzK0sNrDxIMNLTjbotIykLW6ET11GKuOnzpmxr49ucoamkeBLE4x0FqDUBd7Ap9rK9_nFPlWKfQ,na,grandmaster,,1,0,0.0,7.0,3.0,1,0.0,1,0.4285714285714285,
2NPpeKsNxE7hywXizki09H8o7EPr2Jn45Hsor5ITSRgMOmEHFP1-CUL7Z6XA7-nMcr63Tfze8QCF_A,euw,grandmaster,,3,0,6.333333333333333,5.666666666666667,3.6666666666666665,3,0.0,3,1.7647058823529411,
2NQTQocRqq3X5r1e3BObSlLUF33Hb_rTeQeI6Gua7kus4M-YW9rJAmZWUritKr6eJKo7Ou2uVgrzKg,na,master,,1,1,7.0,4.0,11.0,0,1.0,1,4.5,
2NWYVRNeqVuLF-C8F1PYsimLiOJ6BdkSwP-kjVULv4t6BvflVXvclN6Eyi3aR6OeVbDAesF8_AfZKg,euw,challenger,,1,0,3.0,6.0,12.0,1,0.0,1,2.5,
2OnLB_QZwgptN54Uckq4wIHfOLEvPRmAFMsEsnKh0rzdb1RY2susyIXnsM_TpI_REvQj5pQRfixuAg,na,challenger,,8,2,3.375,8.0,9.625,6,0.25,9,1.625,
2PcIeYLr65zqYnSzuUBwRW7JfcBUC4pMVZT14QUNnNHOL74Jdo_xmW0JaI91IlblvrJkMIgTr3BpVg,na,grandmaster,,2,1,7.0,7.5,16.0,1,0.5,3,3.066666666666667,798.0
2Puv_DaesrSv139BcHX4p9hcQpdD1_cQV7a3nwodKCVCmDg8ydxTzXpINnAaIcNTZuCO4NxgMT2-Xw,euw,challenger,,1,1,9.0,8.0,19.0,0,1.0,1,3.5,
2PvjN4-jLYWZbIvvUp6qq34A4vOsHSYyJNTI1sT8RWTrglVYMKA09nPL4gujcdgvdX1aiiXXhZxkNQ,na,challenger,,3,2,5.333333333333333,6.333333333333333,8.666666666666666,1,0.6666666666666666,3,2.210526315789474,
2QR4hL9AW6WqYZdPCbwNs9Rbjco_lS24nMhzPWHp_gOKX9aW7JGfIljtlr67Ac7-xPx2PvX6-2zR9A,na,challenger,,1,0,4.0,16.0,2.0,1,0.0,1,0.375,
2QbVpbjbzNvd8ovruO-0EmxWSilqYdp0wW0J46mozdcszW5af_hXW7FkRmRA69vI_GBB2l1h16gMDw,na,grandmaster,,1,0,2.0,10.0,6.0,1,0.0,1,0.8,
2QtjMuoyV5-Vk5bShb6UtxPhn1-fwOXAeVpUu67LNTFxlOIc37ZK-3E4eO3BcweSH-ceRJYkqKIutA,na,challenger,,1,1,8.0,4.0,23.0,0,1.0,1,7.75,
2RHoDnxsTzTInubchxgceCblDlptk3FEisq-AZNEkSqUSPrYzPmc9Mr8_vFQo1bZRhLGjOdykACRGw,euw,challenger,,1,0,4.0,8.0,6.0,1,0.0,1,1.25,
2SM7CQH4vyaOO0l4--QOruAcQ9gcibBt1F2NaGGK7JtmYQbBtq8zV6RHVnzPd3a5lUcOAGEKaRh0wg,na,challenger,,9,4,5.444444444444445,5.111111111111111,8.11111111111111,5,0.4444444444444444,10,2.6521739130434785,1090.0
2SVx9Bju9mZoLAoUCF_uBNnFw9dQ1e7YpxB5RXrJ6HuN9FkAHf7RId0_gmo5_eVhN59GcCkrJNmQQQ,euw,challenger,,11,0,6.909090909090909,6.727272727272728,5.454545454545454,11,0.0,13,1.8378378378378375,
2TNRrH2c-2ef1cviAh7wFO_ndYFXfcrqgjc7UJps7FdDSxlLoIQPPQc4nn9zZWKUpVNFwU9V2JaxAw,na,master,,1,1,14.0,6.0,10.0,0,1.0,1,4.0,
2TdZdIw8758NFnNUQsElrnr8JkC6UfFRwlJh3DxVcAsswFCONtcD-TUzUQidu0ZtjQnCxisVeW9QEA,euw,challenger,,2,2,6.0,5.0,3.5,0,1.0,2,1.9,
2Tea1bVWFbFuDC2Q2yfYV8hb3cHUobx5jGnpZKjIsHAqZyFTO0mtNZCEpyY9VfpdUa7P8MB-6gRb6A,na,grandmaster,,2,1,0.5,6.0,14.0,1,0.5,2,2.4166666666666665,
2U5JBEe9iJaGgr05pMkOtvrZ2c9KQHpivnqzL8lCEmB6OTJugyebRkyG7tuwslq6WNkUvQ_XC0o3Gw,euw,master,,1,1,6.0,4.0,3.0,0,1.0,1,2.25,
2UE-J0niSxyjYoHY5B0CjVAfqYij5M4iSFLeKSHBb21WfIbHTpq2Zw970-NO-xRhyXymP9fjs_Xmkw,na,master,,1,1,4.0,4.0,5.0,0,1.0,1,2.25,
2UFb2eC62vdPxAl_7eAhKg3tpK9rLsPNYBmuIeXx-0KX7-TEBXEWhv4iWWoCLh5Kbg2XkclwabYX8w,na,challenger,,16,8,7.375,3.9375,7.6875,8,0.5,18,3.8253968253968256,1070.0
2UbwS2FhVd0YpCwMI-UB6NtKgy4hObZkNEP64ZJhlxREzG30f4mhXL0Q6CjbgS_kobkNVlyHA2crQA,na,challenger,,1,0,8.0,11.0,10.0,1,0.0,1,1.6363636363636365,
2Vqvi_GONw__O20a7ykMRIz4OhUDTT1WJAn3jRaeARwdhy4ZQ90vMYS-r17V0YcKVYm0U-MPKPJaeQ,euw,grandmaster,,2,1,4.5,6.0,6.5,1,0.5,2,1.8333333333333333,
2WBFHLYqkj2alxbzEMhady4XH_LIeLP1wBGFozj5uUkR_uHseiq7UUguMRtMh6xBXQR7qFuFlioHjw,euw,challenger,,2,1,5.5,3.5,6.5,1,0.5,5,3.4285714285714284,1964.0
2WFclKZawCrL7Q7LvDRHoIASjcwXQUL1vPT2a7xlcDtdPVuHqit0LR4R4d_KoxRsBhc16E2PBZtQcg,na,grandmaster,,1,0,5.0,8.0,3.0,1,0.0,1,1.0,
2WQRXkK5jZhwgEiQfaRMfYOaLZfD9kjUwY3aD2qkzIDMOOIuZ6CSiX-oMAjxlOZeOJm4uAJ6NsWOOQ,na,challenger,,1,0,2.0,10.0,1.0,1,0.0,1,0.3,
2X4D7QbFlxxWeoQ9gOhctNpvIJTgmO732GzHa1d7eMBjluF-WdQyDQag89QOgXRGrbvyzqtbMEyfAw,na,master,,2,1,2.0,3.5,13.5,1,0.5,2,4.428571428571429,
2XKf-lH9Uwzrvd-DniyIV61DuTsjkrtDFIbGNspvVOOmoJqfHOoZbYZZ4UgbeyrrYppPsVN6dGjSbw,euw,master,,1,1,8.0,6.0,2.0,0,1.0,1,1.6666666666666667,
2XLmGFm9Wxs0FNU26HrDK7eeJ2gFRfshLWysesxuXzf7ZGYoX3h6W81xSBl7yPfDJvIiHez04ShuKg,na,challenger,,2,0,5.5,6.0,13.5,2,0.0,2,3.1666666666666665,
2YKMR8jeWqDrdXb3JYESXgRdvSrjxMksymbPlnaVkjPkqgJto-A8jrXAvlP691TvM713clW1ZPOsgw,na,master,,1,0,7.0,7.0,21.0,1,0.0,1,4.0,
2YOqsSd_2SmrKkGQEhA3Dj0empx3M5kmGiS17XSbbnPVM7Fv6vpkVpPF1cXEqNpQyPkyntivipkMlg,na,master,,1,0,5.0,9.0,8.0,1,0.0,1,1.4444444444444444,
2Ya15M9sTpDnBs-N4YsLruQ16J4f0zN73AQcTVpm0M779ZoB2bHkJNXW1-OKh4nxpcvL4NYDA39lWA,na,grandmaster,,1,1,14.0,3.0,12.0,0,1.0,1,8.666666666666666,
2ZAYUv_TBW6ycsDPzXqqGrz1xz2CC5CJHJPY9mPgZPNPCj89u7wAe_qMxlVR0ZpVTBMo-TQ923HmCQ,euw,challenger,,10,5,6.9,4.0,6.5,5,0.5,10,3.35,2436.0
2ZLO2Rzs-YPRF1vuvi5pzfXiAZZDJ2x3t-6hGIZKuiTdu5T93Zhb9G7AdxN14qSq4Q2S6eWOLVbRxQ,na,master,,1,0,2.0,6.0,11.0,1,0.0,1,2.1666666666666665,
2ZVUA5aUT33sEB5MRj7icAdut8qcad1biM_diD_XepSFlPeShMhBf87T218PtCkGBY1Siq6sA1Cthg,euw,challenger,,2,1,13.5,7.5,6.0,1,0.5,3,2.6,2614.0
2ZaUnl6RpCs0Qr-zuXQXNsQZVirjRLHJVyET7ENrR2q1KZdTzZagpthQYJ6px-bTGNnc6l2kPSHbjA,na,grandmaster,,1,0,5.0,10.0,9.0,1,0.0,1,1.4,
2ZsIbbp7eK7kenlpdvKIptiWQB3oqHVsXMhbdNQKz5zcryk4GPY-j7qr7GNzMdvdRD0gJahUc1Uvfw,na,grandmaster,,2,2,8.5,2.5,11.0,0,1.0,3,7.8,
2ZuSGySKUPvOtH_cwgmEhGVrwxlZ2ZEfhsF-J7Jx3mFNUYhUJaUGTeWnir3SpZ_lveJtSX4gsxwOmA,euw,grandmaster,,1,1,7.0,6.0,19.0,0,1.0,1,4.333333333333333,
2Zvvgmak30ZT3_zDPyYHiPBxbfHMZfDo1suA-M2nd8E5iKWzz-s_fblHgBR6DJI5o-lQ3znV6G5NSw,na,challenger,,1,1,2.0,1.0,16.0,0,1.0,1,18.0,
2_3A6Yf8vgNcFl7X4J536KK64HtpmERLXHiBKE1W4w0MVcfte721OPWMw4jk5ZOjFF1GJ2IJeYic_A,na,master,,2,0,4.0,6.0,3.0,2,0.0,2,1.1666666666666667,
2_TZ54tAUD2sbKJbd8_1MhQcWrngnIzdkXGRbtz3IynQINm6tGNMJJZzWU8qh8EPEM8phkiwNbwmXw,euw,grandmaster,,1,1,12.0,8.0,19.0,0,1.0,1,3.875,
2_u3R6JlyKYOITrpSD12C-OwoFLk2nFBWEWtR1bjkiA-Yy8kyp12ijvOWMmBGXZm4EBnXvoKHp6DUQ,na,grandmaster,,1,0,11.0,15.0,4.0,1,0.0,1,1.0,
2aCzOLNS2YJ5njYb_HI4ooxAhmpBIpJE6Q2qU-p4YlnJuSdErMQCoZm_Xb2x9ol5C3o-70Zb8MjyKQ,euw,challenger,,1,0,5.0,6.0,2.0,1,0.0,1,1.1666666666666667,
2aidTA25QhbuK1M98pByIJ0VSSSPtPjAjyda8TIB-0vy4pDa5oFOT8H_jMW-rH7bXcMA0-_ocjrc6Q,na,challenger,,2,1,0.0,3.5,11.5,1,0.5,2,3.2857142857142856,
2b4IIJKIGoNoD1CdwrwkbNh3yAoFoIl0btUONPqzL00p06wgQxAv7bHHufnFKMKJcMnZ_6DCsIk4zw,na,grandmaster,,1,1,1.0,7.0,27.0,0,1.0,1,4.0,
2bFSZd77y1mcfBOD5ApZQmvYinEWPdgHcdgwe9UL5hNXDZO19Y9rlnrtLwXSP0NrRnNVcoeJWI5PbA,na,challenger,,3,1,4.333333333333333,11.666666666666666,8.666666666666666,2,0.3333333333333333,3,1.1142857142857143,
2bKL2THMk0KsnGJElzhAU0QrCgqiT6IpMNiMnkIoynkbwT0jjaK-cZiTjS9vfPuAgsiWG_cSr08H8g,euw,master,,1,0,0.0,5.0,29.0,1,0.0,1,5.8,
2cHzXjnj1WCuZklitTNW6Ez0nBo4JBFOJfy4VP1rGsGpGskzwUcSMPxiGzr6X7SUfQ-wXtuv4OT08A,euw,grandmaster,,2,1,2.5,7.0,12.0,1,0.5,2,2.071428571428572,
2cI_A6D-eQ82VCK8a-EiGzgdXWaUOeI8ydud3c0vjYncqi0MZHe3_Ci3p4fzw3agBqNwB7nbuVqAzw,na,challenger,,1,0,3.0,8.0,9.0,1,0.0,1,1.5,
2cf7lbDUTTfvukWE8OmR5wFJrRehb6GsywMK8sFnEFJaPLljvrC4FI2V_BeKgBVDj0MyFjILJgdYbw,euw,challenger,,5,5,6.2,2.0,5.4,0,1.0,6,5.800000000000001,
2cpnZ9ALF68jmkU5O3NvtEHcgNy5zHD9k_2AvdTCOwuzHnE5R0gqZ69R-Dg15_7z1_pMJRoRQHMpHQ,euw,grandmaster,,1,0,2.0,12.0,6.0,1,0.0,1,0.6666666666666666,
2d3MSno7xDaHGOpF1-EvkZbZTk9jZf1ODG_Qlz8ZuCFWX6p19bi6MoSMTJ4H7458zf7yloYE-QRFCA,na,grandmaster,,4,2,5.0,6.0,8.25,2,0.5,4,2.208333333333333,1051.0
2d6C8Ya9WY13_Ud00QS05d4H9gb_3ky7gVsEk-SOkDvU6R-z9qmYiCyPrSKAajQGiVTbefTzcqnkwg,na,challenger,,2,2,14.0,5.0,12.5,0,1.0,2,5.3,1406.0
2dRBTOPq4OtOCl0kr3BBTunsL2msaAn1Mp-ZjYRvTz0EhltKK4fiF4dqv53fXg7edoKdMYTspVaZbA,na,grandmaster,,1,1,1.0,3.0,4.0,0,1.0,1,1.6666666666666667,
2dyVoU4zdpg8jWY-EQL9SGeL11LbhcsfZyAMUHmHYLQpFEvuPkZKDQ3Gxe8uO9Ld3Iqrv3uF81IV7Q,na,master,,1,0,2.0,7.0,22.0,1,0.0,1,3.4285714285714284,
2eQpG7J1WsCEYKkON7LH6RH0PVlFxfVzA6PNYnK73Rcb0OMP6JdDVd8gxxUsqMEOq7CCalVpWK0ytg,euw,challenger,,2,2,1.0,7.5,11.0,0,1.0,4,1.6,
2f5J7o7VW6IIUfxgQ4lKncHAZxXp_zoNKmW0Z2EBD_AvaPUqYN_ShesjqxvwXM49Ro__1QycxyAQig,na,grandmaster,,1,1,12.0,11.0,15.0,0,1.0,1,2.4545454545454546,
2fAOmFZbicnjiAvTy3HV9Z8vTUHyRdwb4hIDArrb4i5h20due-SL5tBd7OdMwcNbVzzSciMzTFhH4g,na,grandmaster,,1,1,2.0,8.0,12.0,0,1.0,1,1.75,
2fMY9y430bQb2NQGfNgx81ngwN_Rp1ec1xhJOF0v26ZBDwrCihaU5cPb4EaARL-SqA9ZfOLaTQ9Wbg,na,grandmaster,,1,0,4.0,8.0,4.0,1,0.0,1,1.0,
2fYAk0v0Y8k-FjYq8-FTh2daGLbsSuHs1h4XBgQ2pKz4kNaWI-9zE8AXvx-tSrxCKrjYniz9QaahaQ,na,challenger,,1,0,2.0,2.0,2.0,1,0.0,1,2.0,
2fhEQ0nSX4kfzeuoUgXQVOj2gpuyccUt5lODNMr24URdzIMIlslNsP73Bjj7QIkZrai13yCF7iQnbA,euw,challenger,,3,1,9.0,4.666666666666667,7.0,2,0.3333333333333333,3,3.4285714285714284,1614.0
2g6LZBK0ZiuRJFrAVfP9RoyVjeehXx2frqHNwGmEvVtnRbknnUxewyw4V_qMvjlWa4Bu1WX1NWqRrw,na,master,,1,1,4.0,7.0,30.0,0,1.0,1,4.857142857142857,
2gnxz10XwbRG3jjmQdyjcWP8N7AvScTf2XnWEbZ-JvOVfsyB_m0KSSt364W71rlbUuOdaOaQE_iOnw,euw,grandmaster,,1,0,0.0,7.0,14.0,1,0.0,1,2.0,
2hE-QjFM37f9_C91E2c9ZgB1xLpcE88batGvE_PqBG9aDWWB_4SDR6NEjEoBU6CED7uQNDeeiKPAbw,na,challenger,,7,0,7.714285714285714,6.714285714285714,4.142857142857143,7,0.0,10,1.7659574468085106,
2hRhs90-PfyytZDw8JZiWMt7VHfR50x50DdNdWuACNAD6UI4SBGyc47GW1R8-gkFl1wAtseRZJnNcw,euw,grandmaster,,2,2,5.5,3.5,5.5,0,1.0,2,3.142857142857143,
2haK8uDBQvFSd6jCfsSQFSi4GYJ7hPohr2-VC8LwY5_3Z5GmaW_76wvm1ZeqUkmkOP6oF7sCTLDVSw,euw,challenger,,3,2,13.333333333333334,6.333333333333333,6.666666666666667,1,0.6666666666666666,3,3.1578947368421053,
2hl1WR-sY6rgjDl3dG07a7nXKMdeD0Ao3dkFQ1J72wK2aSoEEx1HsgdtRc9ZtCiRDonuyWgJKzXCqg,na,grandmaster,,1,1,15.0,12.0,28.0,0,1.0,1,3.583333333333333,
2iAWwWpx1J3xb_gnpUsAH6Q0AVF0vzQ3somYLMMihl4I9utlKjbc53chgoswZ32uLRTT7o-54LHG1A,na,grandmaster,,1,0,4.0,4.0,9.0,1,0.0,1,3.25,
2j9p2aMtKud3x5S6LPhDBQ5o9TdlPGghQTcwE0wwMo67JuxkohuIk58tiBDJ1kvUw6QfgG3MKYtsRg,na,challenger,,1,0,0.0,0.0,0.0,1,0.0,1,0.0,
2jEu5urnKIoM-75Syx5aUYqXto4JgcuG1iUFvuoaAOkQQQTDQqZm5huiLfUu5IGIX4IeGJ72BFpZ2A,na,challenger,,4,1,5.5,5.5,15.75,3,0.25,5,3.863636363636364,
2jWLtDuss4BKl9DxiMv-NqXovD5xWnK3QQR71KebOrg97iJ2EbFPis8OzOP3c553qRVDhWNMqPkwug,na,master,,2,2,5.0,6.0,14.5,0,1.0,2,3.25,824.0
2jnrDun6mjVF_LKHEa3vRp-jDz3c5oYE-qIwo6kgMg1ya4H-VfjvPwazTh8qmFqZPSbfOO18P7-r3w,euw,challenger,,1,0,4.0,9.0,9.0,1,0.0,1,1.4444444444444444,
2kGlbeP3lmErqG8sUspvOf7DVCG_bgBZ5DcJdUy0tk8d9NiG2TCTJKNtzRnOx4yEMSpMjeHkcLiwdA,euw,master,,1,0,4.0,13.0,10.0,1,0.0,1,1.0769230769230769,
2kZ106CxUkbZnPOzlnmt3JSfc16jdxkuKRVvLzzZbRbGZukXHTMRLM7NoD-YHGYlSdFr4NlKdw_ejg,euw,challenger,,3,1,4.666666666666667,6.666666666666667,1.3333333333333333,2,0.3333333333333333,3,0.8999999999999999,
2kdLM5O4SC8z4nwm9p6bSlesqYdGkPbxZBVAtoqKVSbL6H4KOQmz2B-Yw5DGpv9ucnBApc9P5RVq0g,na,challenger,,2,1,1.0,9.5,20.5,1,0.5,2,2.263157894736842,
2ksdCOchJLOSdmpax45Y6jIzRmp-ZgtqXbSiM84I-Sx7UIR9IjXmQL0rc1rDtONgUTqPYqwfrfhD_A,na,grandmaster,,1,0,1.0,7.0,6.0,1,0.0,1,1.0,
2lNasgdjykzk80P1oNkWzZ9INuIEOL87Xii5Jq6n9V_8RjAVy6NLrggD7AXoQtqDs9Yg7yrRkFLWWA,euw,master,,1,1,6.0,4.0,27.0,0,1.0,1,8.25,
2m7lmQ1Cg3kcmniMLUaIWaUa4R2fNI0MOrAnGM4r9lwFGK3pjJNAd6hCZ2bmFWDJSrmcvgNONFLdXw,euw,challenger,,3,3,8.666666666666666,3.0,7.0,0,1.0,3,5.222222222222222,2514.0
2mKXRyi_uv0ypxuAeMRYoLNI3crnTNdlRKlZsERPPe9EZwLYgt2vM_-MKZh9XVtRpjnM8AE5An6KdQ,na,challenger,,2,1,8.0,8.0,5.5,1,0.5,2,1.6875,
2mQwePGfyCEAdxF8d7MYBBo0QsNtHmPvxjqbiPcUqDsr_7bzOXTGnn9ME6aE0y9Jh5zz7cAU-VLHgg,na,master,,1,1,6.0,3.0,3.0,0,1.0,1,3.0,
2maaO_jRSljGvq56nj_GjXkqO5WnMfDk-NSw9X39SwrPa4uf6Gh-BQXejHSwUGfxMd49mM7mRGm9gg,na,challenger,,4,2,5.0,3.75,7.75,2,0.5,4,3.4,
2mpFGon4gND5CU356piZ8hndGB8cpLaZLPsfsVe4E9O1AoU4M2tjf9nvfjCICCfaWGsiC4a4sPxDTA,euw,challenger,,1,1,6.0,4.0,36.0,0,1.0,1,10.5,
2msfjbvOWNQdUThZLW6_Q3KpOynHMZm0zZmn9Rp08rMK-QZRyIvd8lpywmQI01_CTnw-kZOkNnF75w,euw,master,,1,0,2.0,9.0,1.0,1,0.0,1,0.3333333333333333,
2mw8vEVP8Wrr9J5uZGbiaBEImoMNNyBHxQruYj9_HQCShqyRBut9KKtUGkzvhBZEK0sQriCISt7UWA,na,challenger,,2,0,4.0,6.5,8.0,2,0.0,2,1.8461538461538465,
2mxJdcatLdXMT-y5OBh3L_q2WEX8-c_yWNzUIOKCuB1bSgPQqCoojisRbuESRFDCdhiDmScx7ZjU4g,euw,grandmaster,,1,0,3.0,10.0,23.0,1,0.0,1,2.6,
2niXAI9WjSCep1aUt3LsNiKMIiWR8BGxrdQm_3DEqgphu6NmwNKPp9kLMhuiv2Uw1OkVFUl_xlia6g,euw,master,,1,0,1.0,9.0,8.0,1,0.0,1,1.0,
2o3_pp-gIjsKZsVXKc1g2uXnfX7OvcE4bkunpz7rSYiBEIY5w9qWHWQKjXYoiIzmr19mAclpfVqsEw,euw,grandmaster,,1,0,9.0,10.0,10.0,1,0.0,1,1.9,
2oKSgE6x7YXMIk9cvstLV33IYqb0I3ApGWGRTGjbBdOSoV-aWCkJZQLp762XqrsIJyUnjb_wiVZZCw,na,challenger,,1,1,6.0,10.0,18.0,0,1.0,1,2.4,
2olVQfxnlMacSykAUAJUVOmTS8eWTv9tZr1G6JR3dCxTxQOzeUZLy8yevNDeHH3_c0FC1W9oWQtYOA,na,grandmaster,,3,2,7.333333333333333,7.333333333333333,6.333333333333333,1,0.6666666666666666,4,1.8636363636363635,1118.0
2pXc5I_efFr217mVOkaEeZkWJ9W4sLMUO4jP-5sD697ux56E92TfoJE-bF8QBouVAByreavdd0i8-Q,na,master,,2,0,4.5,9.0,11.5,2,0.0,2,1.7777777777777777,
2pXdEtez5KX0weQygfevc8BK1sZbPbdcyzVNMfLmPoP1GbBQ5RvxVIp-yDcOVifo2XKwBpmHd-Ishg,euw,master,,1,0,3.0,6.0,11.0,1,0.0,1,2.333333333333333,
2pwJeeLOnmjtIHZY4pGfBNBoTfxwNuwoaK7lkFydiwDDgvLHXNyqftFy_4HOUjpRahFqpyGv18XpsA,na,master,,1,1,3.0,1.0,2.0,0,1.0,1,5.0,
2q5wlAXgj1HE_mPfqVVu1JI6QKf7v5hdqmluL-BHBBIFr16AvttBpxgsIOKrMpaOtklKAd1Mv8H3kQ,na,challenger,,2,0,1.0,7.5,14.5,2,0.0,4,2.066666666666667,
2qAqErGOETnoHyjEgGx3HqmCpdn1fvDMsHFKe8_Gcw6kuTu_9Q9SRIXUvVPPUDpIEqyMgr7v9cL4Wg,na,challenger,,1,0,9.0,8.0,6.0,1,0.0,1,1.875,
2r0ooNpUT4uej9IaDGsJfCHeGvrL9TNaADjmO9fE7HL48FSbSiTeX2gxHi8nFYVR2XDHYtVrGWyudQ,na,master,,2,1,11.5,7.0,9.5,1,0.5,2,3.0,
2r1aFtjKZuJ7G9PYbqzqabdVNs4OG8TvODLvPYNeMFXNKX8et5v6bB5Ww55VS_oV2vI6lTbpALA67Q,euw,challenger,,13,10,8.0,3.923076923076923,5.846153846153846,3,0.7692307692307693,20,3.5294117647058827,2450.0
2r7zbF6rd6Wz2Sew4XCPAVVoDKBOEZCjjEevlQABGrg7L-bna6Swc0S489AQZtAm_aHnVQzqMgWrow,na,master,,1,1,2.0,4.0,7.0,0,1.0,1,2.25,
2rpMYjBQIQsgs4_YhDbqkXc9l3LuqO6VMtWGrV8uXDJiAri5KpT6-FQ-tpNHIkW4za6WDgYPk9NFPA,na,master,,1,1,9.0,6.0,18.0,0,1.0,1,4.5,
2sHdSTgMBN0iDiKsX3OcEuWXPl1GHnCYV41mF9RRPmIVZeNpvg4eN9TAx2U7EiF3PDxMv5VLKUoEWA,euw,master,,1,1,4.0,4.0,5.0,0,1.0,1,2.25,
2sy78fLvRt2cTVcFgkhnEAM3mBFLf042bk4i-6p1hFy-VfB5H8HV7wl_13EfMRtB5hyt16l5Xz-iaw,na,master,,1,1,7.0,5.0,6.0,0,1.0,1,2.6,
2tD5grkbUW0dLZ-F1nLQC6Mf66B_CqfrOtpJ0GfBCcFXcZ62y7BVCwSDbzHSIoVPuHfDmsPEpnrF2g,euw,grandmaster,,2,1,5.0,3.5,8.5,1,0.5,3,3.857142857142857,1504.0
2tGRf2Tlj1NtdEKNhRZRRMQcCzKTpRBaBaT2kZgbHZNlspzpWpqwqtK152fBbGTOpjzM94uh4OTV-Q,euw,grandmaster,,1,1,8.0,9.0,16.0,0,1.0,1,2.6666666666666665,
2tS_qIsuHBLFzIIptljVa4BNCXx7uVtSgulMdgWMdER8V4wMy1FhWns5XwIT7kfjfCR3R6hcKfgGvQ,euw,grandmaster,,2,1,3.5,7.5,7.0,1,0.5,2,1.4,
2tat3gXfWqtl62FpuEeRTvdlev2V5DLl1FKyvxx8mrx2aCk0yZdchT63C5VAkdjYG_-snSjiry8jMQ,na,grandmaster,,2,0,3.0,6.5,1.0,2,0.0,3,0.6153846153846154,1016.0
2tfW299_kn0KeMNusqn1DCIQQsdv00aXtAv4i8fzIv55_gmpznRsI4613GwcZvR3tqksddyex1VQzw,na,challenger,,3,2,16.666666666666668,8.666666666666666,10.0,1,0.6666666666666666,3,3.076923076923077,1380.0
2tgg9JrzdMqZri5b_9N1hnm9gfEnyoDcKc4CTLxIi73SqTDomP6GKKidF_wA_NmkosnX65A_q-jHOg,na,challenger,,2,0,6.0,8.0,3.5,2,0.0,2,1.1875,
2tvTLuDxCvFznrtA5iVUtPunsbzhX7xwBFzZgf6VTyvzHVGYQ6P94BXarHawhbi5NzXLBGQFIcQ1vw,euw,grandmaster,,1,1,3.0,4.0,2.0,0,1.0,1,1.25,
2ueZ4ieA0xW9AqHHvp6lpIIAvtV7dfQrai8tFf_IcIe9mVew8kEa3F005u3ppIBrcYdg1Uekt2DuWA,na,master,,1,0,9.0,8.0,5.0,1,0.0,1,1.75,
2ulaEx1sZPco2Hg5CAVtFt6sYX9o-OqFXkQrIqRkFgI-_6-iU6KoL6t6feqV8JG18zj6j-DW8b0gnQ,euw,grandmaster,,2,2,2.5,2.5,20.0,0,1.0,2,9.0,
2v3TRkVa_ruc_uO6iIFpH3FkF7Ewr1gfSNdDwQVEifglCv12ossFitJYLthioaXgFIR1Kw1T0hecxg,na,challenger,,1,0,6.0,5.0,0.0,1,0.0,1,1.2,
